ExperimentID,Tray Location,Pot Location,Ecotype ID,Ecotype Name,Plant ID,,,,,,,,,,,,,,,,,,,
BVZ0072,4,4C5,7172,Hl-3,35572,,,,,,,,,,,,,,,,,,,
BVZ0072,4,4D1,7328,Sf-2,35573,,,,,,,,,,,,,,,,,,,
BVZ0072,4,4D2,8281,cvi,35574,,,,,,,,,,,,,,,,,,,
BVZ0072,4,4D3,8324,Ler-1,35575,,,,,,,,,,,,,,,,,,,
BVZ0072,4,4D4,8279,Col-0,35576,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5A1,7479,PHW-10,35577,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5A2,641,LI-OF-095,35578,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5A3,6810,KNO-11,35579,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5A4,8241,Liarum,35580,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5A5,281,TOU-A1-115,35581,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5B1,7457,RLD-2,35582,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5B2,8420,Kelsterbach-4,35583,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5B3,7044,Bu-2,35584,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5B4,8384,Sq-1,35585,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5B5,8337,Mir-0,35586,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5C1,5160,UKSE06-351,35587,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5C2,7284,Ors-2,35588,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5C3,7149,Gu-0,35589,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5C4,7116,Eil-0,35590,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5C5,8274,Can-0,35591,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5D1,7328,Sf-2,35592,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5D2,8281,cvi,35593,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5D3,8324,Ler-1,35594,,,,,,,,,,,,,,,,,,,
BVZ0072,5,5D4,8279,Col-0,35595,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6A1,173,MIB-22,35596,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6A2,6989,Alst-1,35597,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6A3,8321,Kz-13,35598,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6A4,7227,Li-5:2,35599,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6A5,8336,Lz-0,35600,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6B1,7228,Li-5:3,35601,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6B2,7310,Pr-0,35602,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6B3,8339,Mrk-0,35603,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6B4,7186,Kn-0,35604,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6B5,6096,T1060,35605,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6C1,8342,Mz-0,35606,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6C2,8270,Bs-1,35607,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6C3,7378,Uk-1,35608,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6C4,7300,Pla-0,35609,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6C5,6996,An-2,35610,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6D1,7328,Sf-2,35611,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6D2,8281,cvi,35612,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6D3,8324,Ler-1,35613,,,,,,,,,,,,,,,,,,,
BVZ0072,6,6D4,8279,Col-0,35614,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7A1,8610,11ME1.32,35615,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7A2,6020,FjA1-5,35616,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7A3,8387,St-0,35617,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7A4,7151,Go-0,35618,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7A5,7163,Ha-0,35619,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7B1,8259,Ba5-1,35620,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7B2,7483,PHW1-4,35621,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7B3,8288,Edi-0,35622,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7B4,8343,Na-1,35623,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7B5,5837,Bor-1,35624,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7C1,8350,Omo2-3,35625,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7C2,6005,DraIV 6-35,35626,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7C3,7024,Bla-6,35627,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7C4,8360,Pro-0,35628,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7C5,8344,Nd-1,35629,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7D2,8281,cvi,35630,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7D3,8324,Ler-1,35631,,,,,,,,,,,,,,,,,,,
BVZ0072,7,7D4,8279,Col-0,35632,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8A1,5785,UKID80,35633,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8A2,7115,Ei-6,35634,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8A3,8281,cvi-0,35635,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8A4,8312,Is-0,35636,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8A5,373,TOU-H-12,35637,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8B1,7340,Sav-0,35638,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8B2,8251,Ag-0,35639,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8B3,8222,Lis-2,35640,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8B4,8429,N13,35641,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8B5,6449,ZdrI 2-25,35642,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8C1,6169,TAD 01,35643,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8C2,5158,UKSE06-349,35644,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8C3,7299,Pi-2,35645,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8C4,5742,UKID37,35646,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8C5,7256,Mh-1,35647,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8D1,7328,Sf-2,35648,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8D2,8281,cvi,35649,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8D3,8324,Ler-1,35650,,,,,,,,,,,,,,,,,,,
BVZ0072,8,8D4,8279,Col-0,35651,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9A1,8243,PHW-2,35652,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9A2,7030,Bch-4,35653,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9A3,8322,Kz-9,35654,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9A4,7381,Uk-4,35655,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9A5,7382,Utrecht,35656,,,,,,,,,,,,,,,,,,,
